epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,229.075,1.14779,2.7439,0.95677,0.54648,0.19875,0.18003,0.1329,0.95633,1.79258,0.92148,0.0669099,0.000166282,0.000166282
2,502.654,1.02373,1.64339,0.93367,0.64942,0.43139,0.48969,0.36346,0.96572,1.19339,0.91812,0.0337401,0.000329785,0.000329785
3,682.763,0.95067,1.23526,0.91594,0.72761,0.61087,0.70323,0.53472,0.90996,0.87795,0.90577,0.000567105,0.000490122,0.000490122
4,862.474,0.91554,1.03761,0.90732,0.78599,0.75839,0.84815,0.68604,0.77463,0.72497,0.87018,0.00048575,0.00048575,0.00048575
5,1042.07,0.87127,0.88718,0.89834,0.86983,0.87609,0.93754,0.76743,0.75943,0.55791,0.86622,0.000481,0.000481,0.000481
6,1239.89,0.84634,0.80249,0.89086,0.868,0.86913,0.93837,0.76772,0.72571,0.52731,0.85952,0.00047625,0.00047625,0.00047625
7,1422.57,0.82758,0.75531,0.89036,0.89617,0.92842,0.96528,0.80145,0.71761,0.47952,0.85946,0.0004715,0.0004715,0.0004715
8,1601.24,0.79724,0.69962,0.8826,0.91175,0.93653,0.97099,0.81615,0.69433,0.44632,0.85346,0.00046675,0.00046675,0.00046675
9,1781.36,0.78264,0.67147,0.87905,0.93199,0.94661,0.96967,0.80636,0.70373,0.42695,0.85697,0.000462,0.000462,0.000462
10,1961.61,0.7622,0.63026,0.87103,0.94372,0.95807,0.9795,0.82985,0.66592,0.41505,0.84485,0.00045725,0.00045725,0.00045725
11,2141.51,0.7483,0.61146,0.86822,0.94788,0.95856,0.97983,0.85273,0.59747,0.36276,0.83253,0.0004525,0.0004525,0.0004525
12,2320.1,0.73664,0.60253,0.86799,0.92793,0.97511,0.97981,0.84874,0.6229,0.38226,0.83306,0.00044775,0.00044775,0.00044775
13,2498.61,0.71908,0.5694,0.86401,0.95655,0.96287,0.98091,0.85396,0.59322,0.3605,0.82888,0.000443,0.000443,0.000443
14,2679.22,0.71422,0.56765,0.8625,0.92782,0.96871,0.9777,0.85219,0.60693,0.38138,0.83219,0.00043825,0.00043825,0.00043825
15,2859.34,0.70072,0.54607,0.85977,0.94931,0.96867,0.98066,0.85812,0.57439,0.34427,0.82489,0.0004335,0.0004335,0.0004335
16,3037.45,0.68031,0.52589,0.85406,0.95708,0.97932,0.98105,0.86692,0.56264,0.33213,0.82353,0.00042875,0.00042875,0.00042875
17,3216.77,0.68025,0.51667,0.85253,0.9468,0.98257,0.98215,0.87766,0.53289,0.31518,0.81645,0.000424,0.000424,0.000424
18,3395.94,0.67721,0.51063,0.85193,0.95633,0.98433,0.98185,0.87022,0.55769,0.31894,0.82141,0.00041925,0.00041925,0.00041925
19,3574.27,0.66496,0.50192,0.84756,0.96595,0.98386,0.982,0.8744,0.54847,0.31308,0.81862,0.0004145,0.0004145,0.0004145
20,3752.32,0.65064,0.48728,0.84746,0.95394,0.98694,0.98191,0.88678,0.51265,0.30093,0.81284,0.00040975,0.00040975,0.00040975
21,3931.24,0.64204,0.48208,0.84823,0.95849,0.97431,0.97862,0.87912,0.51889,0.3126,0.81354,0.000405,0.000405,0.000405
22,4110.82,0.64008,0.48529,0.84329,0.96231,0.98852,0.98225,0.87977,0.51824,0.30466,0.81383,0.00040025,0.00040025,0.00040025
23,4289.14,0.63999,0.48028,0.84384,0.95229,0.9868,0.98225,0.88468,0.50484,0.29558,0.8115,0.0003955,0.0003955,0.0003955
24,4468.79,0.62557,0.47249,0.84015,0.95266,0.98889,0.98194,0.87697,0.52601,0.29429,0.81376,0.00039075,0.00039075,0.00039075
25,4647.18,0.61897,0.45822,0.83879,0.96491,0.98539,0.98437,0.89778,0.47191,0.27504,0.80482,0.000386,0.000386,0.000386
26,4826.49,0.61361,0.4527,0.83888,0.95436,0.99193,0.98323,0.89675,0.47233,0.27925,0.80494,0.00038125,0.00038125,0.00038125
27,5006.97,0.60882,0.44806,0.83775,0.96923,0.98328,0.98269,0.89945,0.45509,0.26776,0.80207,0.0003765,0.0003765,0.0003765
28,5186.05,0.60814,0.44329,0.83802,0.96347,0.98768,0.98137,0.89334,0.47465,0.2744,0.80472,0.00037175,0.00037175,0.00037175
29,5364.58,0.59903,0.43872,0.83527,0.95643,0.99317,0.983,0.8935,0.47783,0.27023,0.80378,0.000367,0.000367,0.000367
30,5545.67,0.6027,0.43925,0.83522,0.96053,0.98546,0.98261,0.89191,0.48497,0.28146,0.8069,0.00036225,0.00036225,0.00036225
31,5724.32,0.58766,0.42896,0.83444,0.96436,0.99096,0.98318,0.90074,0.46055,0.26258,0.8014,0.0003575,0.0003575,0.0003575
32,5903.68,0.58454,0.42885,0.83378,0.96031,0.99392,0.98271,0.90433,0.4372,0.25601,0.7977,0.00035275,0.00035275,0.00035275
33,6083.25,0.57964,0.42098,0.83323,0.96256,0.98857,0.98248,0.90926,0.43137,0.25611,0.79699,0.000348,0.000348,0.000348
34,6263.52,0.56904,0.4145,0.82779,0.96153,0.99486,0.98282,0.91035,0.42227,0.25047,0.7948,0.00034325,0.00034325,0.00034325
35,6446.13,0.56537,0.41025,0.82811,0.9598,0.99258,0.98255,0.91011,0.43141,0.25456,0.79654,0.0003385,0.0003385,0.0003385
36,6625.63,0.57228,0.41237,0.82825,0.96094,0.99174,0.98409,0.91281,0.42646,0.25053,0.79461,0.00033375,0.00033375,0.00033375
37,6806.09,0.56438,0.40653,0.82865,0.95575,0.99771,0.98292,0.90867,0.4305,0.24977,0.79626,0.000329,0.000329,0.000329
38,6960.48,0.55786,0.40445,0.82594,0.95715,0.99633,0.98258,0.9147,0.41054,0.24327,0.79302,0.00032425,0.00032425,0.00032425
