epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,161.326,1.265,3.45921,0.9794,0.51378,0.11122,0.08125,0.05999,1.06607,2.31877,0.93371,0.06705,0.000332828,0.000332828
2,265.185,1.14227,2.27242,0.95779,0.48792,0.30387,0.27107,0.19089,1.06338,1.68717,0.93736,0.0340437,0.000659833,0.000659833
3,349.908,1.09576,1.87527,0.94403,0.49056,0.46167,0.44325,0.33784,0.91727,1.37737,0.9028,0.00103101,0.000980505,0.000980505
4,428.864,1.05003,1.60543,0.93453,0.68274,0.5365,0.62221,0.49033,0.86951,1.11939,0.89135,0.0009715,0.0009715,0.0009715
5,505.417,1.02478,1.41967,0.92249,0.76349,0.60576,0.73006,0.57006,0.89102,0.92828,0.89473,0.000962,0.000962,0.000962
6,641.191,0.99562,1.29629,0.91765,0.72882,0.70876,0.78872,0.61846,0.8874,0.87639,0.89776,0.0009525,0.0009525,0.0009525
7,894.7,0.97496,1.19606,0.91892,0.78007,0.77378,0.85922,0.6868,0.82354,0.74437,0.87877,0.000943,0.000943,0.000943
8,1171.06,0.96472,1.11887,0.91204,0.84875,0.83002,0.90752,0.72615,0.81791,0.64169,0.87829,0.0009335,0.0009335,0.0009335
9,1444.71,0.94695,1.06348,0.90637,0.86071,0.84495,0.9215,0.75061,0.77431,0.59329,0.87003,0.000924,0.000924,0.000924
10,1718.68,0.92104,0.98573,0.90247,0.86893,0.87107,0.93693,0.76924,0.7556,0.5698,0.86465,0.0009145,0.0009145,0.0009145
11,1992.39,0.91857,0.97008,0.90305,0.87388,0.88137,0.93946,0.77705,0.73355,0.54055,0.85778,0.000905,0.000905,0.000905
12,2266.7,0.90519,0.92967,0.89413,0.90543,0.8912,0.95247,0.79322,0.72567,0.50069,0.85763,0.0008955,0.0008955,0.0008955
13,2538.87,0.89443,0.89457,0.89382,0.91252,0.91987,0.96197,0.80086,0.70664,0.47526,0.85224,0.000886,0.000886,0.000886
14,2814.15,0.89144,0.88433,0.89108,0.92119,0.92374,0.96705,0.80114,0.72126,0.47006,0.85728,0.0008765,0.0008765,0.0008765
15,3088.71,0.87216,0.84294,0.89123,0.89462,0.93016,0.96104,0.80309,0.7045,0.46027,0.85462,0.000867,0.000867,0.000867
16,3359.63,0.87014,0.82352,0.88313,0.91861,0.95194,0.97662,0.82052,0.67886,0.4305,0.84596,0.0008575,0.0008575,0.0008575
17,3634.61,0.8689,0.8336,0.88799,0.91263,0.94905,0.97672,0.813,0.70892,0.43774,0.85423,0.000848,0.000848,0.000848
18,3908.75,0.84918,0.79,0.88724,0.94055,0.96524,0.9831,0.82976,0.66915,0.41231,0.8456,0.0008385,0.0008385,0.0008385
19,4182.79,0.85492,0.78657,0.88418,0.94299,0.94604,0.98046,0.82247,0.68034,0.4162,0.84449,0.000829,0.000829,0.000829
20,4458.74,0.84216,0.76014,0.88122,0.94826,0.96335,0.98139,0.82597,0.66595,0.39485,0.84487,0.0008195,0.0008195,0.0008195
21,4732.22,0.83455,0.75388,0.87936,0.93075,0.96105,0.97803,0.82638,0.65533,0.39774,0.84323,0.00081,0.00081,0.00081
