frame_id,emotions_1,emotions_2,emotions_3,emotions_4
0,neutral,neutral,
1,neutral,neutral,
2,neutral,happy,fear
3,neutral,happy,fear
4,neutral,happy,fear
5,neutral,neutral,fear
6,neutral,surprise,fear
7,neutral,surprise,fear
8,neutral,neutral,
9,neutral,neutral,
10,neutral,neutral,
11,neutral,neutral,
12,neutral,neutral,
13,neutral,neutral,
14,neutral,neutral,
15,neutral,surprise,
16,neutral,surprise,
17,neutral,surprise,
18,neutral,surprise,
19,neutral,surprise,
20,neutral,surprise,
21,neutral,neutral,
22,neutral,fear,
23,neutral,fear,
24,neutral,neutral,
25,neutral,neutral,
26,neutral,fear,
27,neutral,happy,fear,angry
28,neutral,surprise,fear,angry
29,neutral,surprise,fear
30,neutral,surprise,fear
31,neutral,surprise,fear
32,neutral,neutral,fear
33,neutral,neutral,fear
34,neutral,neutral,fear
35,neutral,surprise,
36,neutral,surprise,sad,fear
37,neutral,surprise,sad,fear
38,neutral,surprise,sad,fear
39,neutral,surprise,sad
40,neutral,neutral,sad
41,neutral,fear,sad
42,neutral,neutral,angry
43,neutral,neutral,angry
44,neutral,surprise,angry
45,sad,surprise,angry,sad
46,neutral,neutral,angry
47,neutral,neutral,
48,neutral,neutral,sad
49,neutral,neutral,sad
50,neutral,surprise,
51,neutral,surprise,
52,neutral,surprise,
53,neutral,neutral,angry
54,neutral,neutral,
55,neutral,sad,
56,neutral,surprise,
57,neutral,surprise,
58,neutral,surprise,angry
59,neutral,neutral,
60,sad,neutral,
61,sad,neutral,
62,neutral,neutral,
63,neutral,neutral,
64,neutral,neutral,
65,neutral,neutral,
66,neutral,neutral,
67,neutral,neutral,
68,neutral,sad,
69,neutral,neutral,
70,neutral,neutral,
71,neutral,neutral,sad
72,neutral,neutral,
73,neutral,neutral,
74,neutral,neutral,
75,neutral,sad,
76,neutral,surprise,
77,sad,surprise,
78,neutral,neutral,
79,neutral,neutral,
80,neutral,neutral,
81,neutral,sad,
82,sad,fear,
83,neutral,neutral,
84,sad,neutral,sad
85,sad,neutral,sad
86,neutral,neutral,fear
87,neutral,neutral,
88,neutral,sad,fear
89,neutral,neutral,fear
90,neutral,surprise,fear
91,neutral,surprise,fear
92,neutral,sad,fear
93,neutral,neutral,
94,neutral,fear,
95,neutral,neutral,fear
96,neutral,neutral,sad
97,neutral,neutral,sad
98,neutral,neutral,fear
99,neutral,neutral,angry,fear
100,neutral,sad,angry,fear
101,sad,neutral,angry,fear
102,happy,neutral,fear,angry
103,happy,sad,fear,angry
104,neutral,sad,fear,angry
105,neutral,neutral,angry
106,sad,neutral,angry
107,happy,neutral,angry
108,happy,neutral,angry,fear
109,happy,neutral,angry,fear
110,happy,neutral,angry,fear
111,happy,neutral,fear,angry
112,happy,neutral,angry,sad
113,happy,neutral,angry,fear
114,happy,neutral,fear,angry
115,happy,neutral,fear,angry
116,neutral,happy,fear,angry
117,neutral,happy,angry,fear
118,neutral,happy,angry,fear
119,neutral,neutral,angry
120,neutral,neutral,angry
121,neutral,neutral,angry
122,neutral,neutral,angry
123,neutral,angry,neutral,fear
124,sad,angry,fear,neutral
125,sad,neutral,fear
126,sad,angry,fear,neutral
127,sad,angry,fear,neutral
128,sad,neutral,fear
129,happy,neutral,fear
130,happy,neutral,fear
131,happy,neutral,
132,happy,happy,
133,happy,neutral,
134,happy,neutral,
135,happy,neutral,
136,happy,neutral,
137,neutral,fear,
138,neutral,fear,
139,neutral,fear,
140,neutral,,
141,happy,,
142,neutral,,
143,neutral,,
144,neutral,,
145,neutral,,
146,neutral,,
147,neutral,,
148,neutral,,
149,neutral,,
150,neutral,,
151,neutral,,
152,neutral,,
153,neutral,,
154,neutral,,
155,neutral,,
156,neutral,,
157,neutral,,
158,neutral,,
159,neutral,,
160,neutral,,
161,neutral,,
162,neutral,,
163,neutral,,
164,neutral,,
165,neutral,,
166,neutral,,
167,neutral,,
168,neutral,,
169,neutral,,
170,neutral,,
171,neutral,,
172,neutral,,
173,neutral,,
174,neutral,,
175,neutral,,
176,neutral,,
177,neutral,,
178,neutral,,
179,neutral,,
180,happy,,
181,happy,,
182,happy,,
183,happy,,
184,happy,,
185,happy,,
186,happy,,
187,happy,,
188,happy,,
189,neutral,,
190,happy,,
191,happy,,
192,happy,,
193,happy,,
194,happy,,
195,happy,,
196,happy,,
197,happy,,
198,happy,,
199,happy,,
200,happy,,
201,happy,,
202,happy,,
203,happy,,
204,happy,,
205,happy,,
206,happy,,
207,happy,,
208,happy,,
209,happy,,
210,happy,,
211,happy,,
212,happy,,
213,happy,,
214,happy,,
215,happy,,
216,happy,,
217,happy,,
218,happy,,
219,happy,,
220,happy,,
221,happy,,
222,neutral,,
223,neutral,,
224,happy,,
225,happy,,
226,happy,,
227,happy,,
228,happy,,
229,happy,,
230,neutral,,
231,neutral,,
232,neutral,,
233,happy,,
234,happy,,
235,happy,,
236,happy,,
237,happy,,
238,happy,,
239,happy,,
240,happy,,
241,happy,,
242,happy,,
243,happy,,
244,happy,,
245,happy,,
246,happy,,
247,happy,,
248,sad,,
249,neutral,,
250,fear,,
251,sad,,
252,sad,,
253,sad,,
254,sad,,
255,sad,,
256,fear,,
257,fear,,
258,happy,,
259,fear,,
260,fear,,
261,neutral,,
262,neutral,,
263,neutral,,
264,fear,,
265,fear,,
266,happy,,
267,happy,,
268,happy,,
269,happy,,
270,happy,,
271,happy,,
272,happy,,
273,happy,,
274,happy,,
275,happy,,
276,happy,,
277,happy,,
278,happy,,
279,happy,,
280,happy,,
281,happy,,
282,happy,,
283,happy,,
284,happy,,
285,happy,,
286,happy,,
287,happy,,
288,happy,,
289,happy,,
290,happy,,
291,happy,,
292,happy,,
293,happy,,
294,happy,,
295,happy,,
296,happy,,
297,happy,,
298,happy,,
299,happy,,
300,happy,,
301,happy,,
302,happy,,
303,happy,,
304,happy,,
305,happy,,
306,happy,,
307,happy,,
308,happy,,
309,happy,,
310,happy,,
311,happy,,
312,happy,,
313,happy,,
314,happy,,
315,happy,,
316,happy,,
317,happy,,
318,happy,,
319,happy,,
320,happy,,
321,happy,,
322,happy,,
323,happy,,
324,happy,,
325,happy,,
326,happy,,
327,happy,,
328,happy,,
329,happy,,
330,happy,,
331,happy,,
332,happy,,
333,happy,,
334,happy,,
335,happy,,
336,happy,,
337,happy,,
338,fear,,
339,happy,,
340,neutral,,
341,happy,,
342,happy,,
343,happy,,
344,happy,,
345,happy,,
346,happy,,
347,neutral,,
348,happy,,
349,happy,,
350,neutral,,
351,neutral,,
352,happy,,
353,happy,,
354,happy,,
355,happy,,
356,happy,,
357,neutral,,
358,happy,,
359,happy,,
360,,,
361,,,
362,,,
363,,,
364,,,
365,,,
366,,,
367,,,
368,,,
369,,,
370,,,
371,,,
372,,,
373,,,
374,,,
375,,,
376,,,
377,,,
378,,,
379,,,
380,,,
381,,,
382,,,
383,,,
