epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1090.35,1.14865,1.56988,1.1298,0.68101,0.70077,0.84545,0.42054,2.28535,1.28146,1.8991,0.008005,0.008005,0.008005
44,1114.56,1.1213,1.54693,1.12333,0.57088,0.73695,0.68765,0.34481,2.19438,1.40978,1.82689,0.0079575,0.0079575,0.0079575
45,1138.34,1.13042,1.57542,1.12717,0.59332,0.70352,0.74351,0.32681,2.39309,1.565,1.92299,0.00791,0.00791,0.00791
46,1163.39,1.13619,1.60677,1.14457,0.7039,0.67966,0.87719,0.41073,2.34383,1.25839,1.94993,0.0078625,0.0078625,0.0078625
47,1187.52,1.13839,1.56795,1.12414,0.62123,0.80978,0.864,0.40299,2.36415,1.14995,1.99639,0.007815,0.007815,0.007815
48,1212.29,1.1219,1.55899,1.09861,0.51713,0.90217,0.86432,0.37856,2.31833,1.28861,1.96351,0.0077675,0.0077675,0.0077675
49,1236.88,1.11441,1.5247,1.1118,0.63469,0.71739,0.8214,0.3783,2.2565,1.26055,1.8745,0.00772,0.00772,0.00772
50,1261.09,1.12947,1.55385,1.13713,0.66632,0.67115,0.78346,0.38813,2.24567,1.33619,1.85053,0.0076725,0.0076725,0.0076725
51,1285.82,1.11911,1.53191,1.11168,0.59714,0.80435,0.84592,0.39066,2.30565,1.22833,1.90375,0.007625,0.007625,0.007625
52,1311.02,1.11793,1.53448,1.10607,0.73514,0.7405,0.87784,0.43497,2.28898,1.13813,1.96085,0.0075775,0.0075775,0.0075775
53,1335.23,1.12565,1.51681,1.1257,0.6651,0.82175,0.85423,0.42052,2.23751,1.06545,1.86906,0.00753,0.00753,0.00753
54,1358.86,1.1367,1.49877,1.13494,0.75077,0.71027,0.91667,0.46448,2.20203,1.07596,1.78136,0.0074825,0.0074825,0.0074825
55,1383.05,1.10964,1.40846,1.10633,0.78804,0.72762,0.87575,0.40766,2.33214,1.14094,1.87227,0.007435,0.007435,0.007435
56,1408.06,1.14447,1.51101,1.1438,0.76052,0.82321,0.89983,0.47021,2.14638,1.02831,1.76283,0.0073875,0.0073875,0.0073875
57,1432.53,1.11724,1.4239,1.11963,0.86637,0.67997,0.8599,0.42133,2.23237,1.16941,1.86788,0.00734,0.00734,0.00734
