epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,9062.87,0.47199,0.31483,0.81019,0.97921,0.96793,0.99005,0.94152,0.3326,0.19611,0.79248,0.0006105,0.0006105,0.0006105
43,9263.24,0.46706,0.31409,0.81009,0.95001,0.99,0.99002,0.94298,0.32714,0.19109,0.79078,0.000601,0.000601,0.000601
44,9478.6,0.4632,0.30797,0.81056,0.98506,0.96607,0.98979,0.94517,0.32317,0.19518,0.79271,0.0005915,0.0005915,0.0005915
45,9688.99,0.46676,0.31546,0.80873,0.97745,0.96475,0.98507,0.94013,0.32234,0.22901,0.7906,0.000582,0.000582,0.000582
46,9889.73,0.45763,0.30566,0.80817,0.97682,0.96976,0.98747,0.94264,0.3259,0.19434,0.79166,0.0005725,0.0005725,0.0005725
47,10086.5,0.46025,0.30808,0.80767,0.97829,0.96594,0.98533,0.93942,0.32773,0.19702,0.79161,0.000563,0.000563,0.000563
48,10288.6,0.45716,0.3066,0.81039,0.96765,0.97857,0.9908,0.94599,0.32218,0.18995,0.78864,0.0005535,0.0005535,0.0005535
49,10488.6,0.462,0.31372,0.80904,0.95921,0.98367,0.99002,0.946,0.31754,0.18845,0.78869,0.000544,0.000544,0.000544
50,10686.8,0.45095,0.30458,0.8072,0.95088,0.98806,0.99006,0.94363,0.32058,0.18717,0.78979,0.0005345,0.0005345,0.0005345
51,10878,0.44454,0.29996,0.80594,0.97242,0.98461,0.99072,0.94869,0.3124,0.18291,0.78796,0.000525,0.000525,0.000525
52,11096.8,0.44695,0.30084,0.80719,0.98118,0.96548,0.99037,0.94751,0.30918,0.18734,0.78911,0.0005155,0.0005155,0.0005155
53,11296.1,0.4393,0.29075,0.80466,0.94899,0.99368,0.99131,0.95057,0.30508,0.1806,0.78915,0.000506,0.000506,0.000506
54,11496.2,0.44358,0.29616,0.80594,0.98395,0.96546,0.99021,0.94858,0.30271,0.1825,0.78801,0.0004965,0.0004965,0.0004965
55,11722.8,0.43007,0.28673,0.80511,0.97687,0.96926,0.98991,0.9489,0.30555,0.18298,0.78986,0.000487,0.000487,0.000487
56,11918.6,0.43938,0.29212,0.80471,0.98478,0.96427,0.99102,0.94957,0.3067,0.18666,0.79028,0.0004775,0.0004775,0.0004775
57,12134.5,0.42603,0.28259,0.80419,0.98611,0.96599,0.9905,0.95102,0.30647,0.18283,0.79024,0.000468,0.000468,0.000468
58,12338.8,0.42852,0.28709,0.80425,0.98406,0.96496,0.99107,0.94992,0.30628,0.18249,0.78953,0.0004585,0.0004585,0.0004585
59,12534.7,0.42787,0.28482,0.80334,0.98368,0.96927,0.99124,0.9501,0.30499,0.18251,0.78986,0.000449,0.000449,0.000449
60,12736,0.42743,0.28409,0.80182,0.9843,0.96928,0.99047,0.95152,0.29487,0.17746,0.78816,0.0004395,0.0004395,0.0004395
61,12945.3,0.42192,0.28191,0.8031,0.98318,0.96732,0.9906,0.95247,0.29507,0.17874,0.78868,0.00043,0.00043,0.00043
62,13142.7,0.42252,0.28234,0.80305,0.95986,0.99113,0.99062,0.95232,0.29665,0.17402,0.78813,0.0004205,0.0004205,0.0004205
63,13334.3,0.41725,0.2765,0.80101,0.98252,0.97099,0.99116,0.95386,0.29388,0.17382,0.78822,0.000411,0.000411,0.000411
64,13527.5,0.41073,0.26792,0.7999,0.98408,0.96858,0.99116,0.9555,0.28933,0.17353,0.78755,0.0004015,0.0004015,0.0004015
65,13720.1,0.40867,0.26838,0.79912,0.98442,0.96699,0.9903,0.95316,0.29072,0.17541,0.78869,0.000392,0.000392,0.000392
66,13914.9,0.41112,0.26991,0.80069,0.98067,0.96911,0.99077,0.95261,0.29304,0.17853,0.78933,0.0003825,0.0003825,0.0003825
67,14198.7,0.41042,0.27071,0.80065,0.98627,0.96444,0.99049,0.95289,0.29082,0.17956,0.78965,0.000373,0.000373,0.000373
68,14403.4,0.40551,0.26938,0.79987,0.98426,0.96655,0.99052,0.95238,0.28459,0.1713,0.78767,0.0003635,0.0003635,0.0003635
69,14610.5,0.40495,0.26508,0.79872,0.98349,0.96919,0.99105,0.95259,0.29072,0.17729,0.78991,0.000354,0.000354,0.000354
70,14814.1,0.39927,0.26229,0.79947,0.9812,0.96916,0.98997,0.95249,0.28695,0.1742,0.78891,0.0003445,0.0003445,0.0003445
71,15021.6,0.39935,0.26198,0.79851,0.97932,0.96759,0.99047,0.95443,0.27998,0.17113,0.788,0.000335,0.000335,0.000335
72,15240.5,0.39766,0.26102,0.79907,0.98451,0.96706,0.99117,0.95442,0.28241,0.17141,0.7885,0.0003255,0.0003255,0.0003255
73,15444.9,0.39357,0.25905,0.79792,0.98393,0.96672,0.99045,0.9539,0.2827,0.17328,0.78868,0.000316,0.000316,0.000316
74,15639.6,0.3928,0.25733,0.79716,0.98407,0.96863,0.99132,0.95498,0.28129,0.17259,0.7886,0.0003065,0.0003065,0.0003065
